,epoch,Accuracy
0,1,0.4230625
1,2,0.5200625
2,3,0.5456875
3,4,0.57275
4,5,0.6029375
5,6,0.6270625
6,7,0.6449375
7,8,0.6725
8,9,0.6965625
9,10,0.7100625
10,11,0.735375
11,12,0.7475
12,13,0.781
13,14,0.7654375
14,15,0.7905625
15,16,0.838
16,17,0.8331875
17,18,0.8534375
18,19,0.864375
19,20,0.857
20,21,0.8924375
21,22,0.889625
22,23,0.9168125
23,24,0.908
24,25,0.90875
