,epoch,Accuracy
0,1,0.4168125
1,2,0.51025
2,3,0.541375
3,4,0.5875625
4,5,0.6119375
5,6,0.6326875
6,7,0.648625
7,8,0.6721875
8,9,0.702875
9,10,0.730125
10,11,0.752375
11,12,0.7821875
12,13,0.8050625
13,14,0.81725
14,15,0.8493125
15,16,0.8718125
16,17,0.8981875
17,18,0.88125
18,19,0.902
19,20,0.9109375
20,21,0.8914375
21,22,0.93325
22,23,0.9361875
23,24,0.9445
24,25,0.964375
